Class Code,SUM(Message),MINIMUM(Sent Date),MAXIMUM(Sent Date)
PER8169,2,2015/08/04,2015/08/04
PER9786,63,2015/09/11,2015/09/11
PHY0416,1,2015/04/12,2015/04/12
PHY8001,1,2015/05/16,2015/05/16
PJ.0307,3,2015/04/24,2015/04/24
POO7456,1,2015/09/08,2015/09/08
POO9130,1,2015/09/07,2015/09/07
PRA0218,1,2015/03/24,2015/03/24
PRA0866,1,2015/08/11,2015/08/11
PRA1656,1,2015/09/06,2015/09/06
PRA6200,2,2015/08/31,2015/08/31
PRA7283,5,2015/09/13,2015/09/13
PRA7869,1,2015/04/22,2015/04/22
PRA7921,3,2015/06/27,2015/06/27
PRA8403,1,2015/09/13,2015/09/13
PRA8445,2,2015/04/29,2015/04/29
PRE6966,2,2015/05/05,2015/05/05
PRI4567,1,2015/07/31,2015/07/31
QUR0947,1,2015/07/02,2015/07/02
RAD0689,1,2015/08/06,2015/08/06
RAD6942,5,2015/09/05,2015/09/05
RAH2302,2,2015/04/15,2015/04/15
RAH6929,1,2015/04/14,2015/04/14
RAH8329,2,2015/07/04,2015/07/04
RAJ0824,1,2015/07/19,2015/07/19
RAJ2289,11,2015/09/11,2015/09/11
RAJ2553,1,2015/07/01,2015/07/01
RAJ7066,8,2015/08/09,2015/08/09
RAJ7645,1,2015/08/26,2015/08/26
RAM1313,4,2015/07/20,2015/07/20
RAM1531,4,2015/05/24,2015/05/24
RAM2842,1,2015/09/11,2015/09/11
RAN2930,1,2015/07/05,2015/07/05
RAN3983,2,2015/08/24,2015/08/24
RAN6182,4,2015/08/24,2015/08/24
RAN6976,6,2015/08/24,2015/08/24
RAN7480,1,2015/06/30,2015/06/30
RAS8460,35,2015/09/11,2015/09/11
RAV3005,1,2015/06/02,2015/06/02
RAV5120,3,2015/09/11,2015/09/11
RAV7104,3,2015/06/10,2015/06/10
RAV8687,8,2015/04/14,2015/04/14
RAZ2057,2,2015/08/14,2015/08/14
RED8759,1,2015/06/18,2015/06/18
RID2316,1,2015/08/31,2015/08/31
RIS5335,3,2015/08/22,2015/08/22
RIS8306,4,2015/07/16,2015/07/16
RIT5293,1,2015/09/05,2015/09/05
RIT6013,2,2015/05/06,2015/05/06
ROB2752,2,2015/09/07,2015/09/07
ROB6330,1,2015/09/06,2015/09/06
ROH0346,3,2015/05/04,2015/05/04
ROH9053,7,2015/08/31,2015/08/31
ROS3427,1,2015/08/31,2015/08/31
RUT7279,2,2015/08/03,2015/08/03
SAB2361,6,2015/09/10,2015/09/10
SAB4307,6,2015/09/02,2015/09/02
SAB4974,4,2015/09/10,2015/09/10
SAF4144,2,2015/08/18,2015/08/18
SAF4841,2,2015/08/18,2015/08/18
SAH3454,2,2015/09/07,2015/09/07
SAH8994,1,2015/07/04,2015/07/04
SAI5313,1,2015/06/19,2015/06/19
SAI5453,1,2015/07/24,2015/07/24
SAI8088,1,2015/04/22,2015/04/22
SAK2487,2,2015/08/26,2015/08/26
SAK6093,16,2015/08/04,2015/08/04
SAK7315,15,2015/08/04,2015/08/04
SAL4137,3,2015/09/08,2015/09/08
SAM1114,1,2015/07/03,2015/07/03
SAM8982,3,2015/06/01,2015/06/01
SAN1931,1,2015/08/19,2015/08/19
SAN3346,2,2015/08/05,2015/08/05
SAN5079,1,2015/05/19,2015/05/19
SAN6617,2,2015/06/18,2015/06/18
SAR0763,3,2015/08/01,2015/08/01
SAR6240,1,2015/08/15,2015/08/15
SAT4216,1,2015/08/06,2015/08/06
SAU1544,1,2015/04/26,2015/04/26
SAU5966,3,2015/04/12,2015/04/12
SAU6697,6,2015/07/30,2015/07/30
SAU8565,1,2015/07/31,2015/07/31
SAW5386,1,2015/07/16,2015/07/16
SAY8597,1,2015/09/05,2015/09/05
SCI1342,4,2015/08/16,2015/08/16
SCI6229,3,2015/09/11,2015/09/11
SCI7597,2,2015/09/01,2015/09/01
SEE6366,1,2015/04/08,2015/04/08
SEE8292,2,2015/07/30,2015/07/30
SER2852,1,2015/09/02,2015/09/02
SET2810,19,2015/09/10,2015/09/10
SET8649,41,2015/09/10,2015/09/10
SET9858,40,2015/09/10,2015/09/10
SHA0057,1,2015/07/28,2015/07/28
SHA0946,2,2015/07/11,2015/07/11
SHA1186,2,2015/07/31,2015/07/31
SHA1302,1,2015/08/08,2015/08/08
SHA1442,2,2015/06/24,2015/06/24
SHA1757,173,2015/09/11,2015/09/11
SHA2820,1,2015/08/27,2015/08/27
SHA3978,1,2015/08/15,2015/08/15
SHA4134,1,2015/03/25,2015/03/25
SHA5574,3,2015/09/08,2015/09/08
SHA6217,1,2015/08/17,2015/08/17
SHA9459,1,2015/07/31,2015/07/31
SHE7879,1,2015/08/20,2015/08/20
SHE8277,2,2015/07/25,2015/07/25
SHI0637,1,2015/07/23,2015/07/23
SHI0687,1,2015/07/21,2015/07/21
SHI3219,3,2015/09/10,2015/09/10
SHI3256,2,2015/06/27,2015/06/27
SHI3639,1,2015/08/23,2015/08/23
SHI8287,1,2015/08/01,2015/08/01
SHI8587,3,2015/09/06,2015/09/06
SHI9051,1,2015/09/13,2015/09/13
SHI9892,1,2015/06/28,2015/06/28
SHO0062,1,2015/09/05,2015/09/05
SHO8572,2,2015/08/19,2015/08/19
SHR3370,2,2015/07/19,2015/07/19
SHR6733,1,2015/08/03,2015/08/03
SHU0671,5,2015/07/14,2015/07/14
SID1831,1,2015/07/03,2015/07/03
SID2805,3,2015/06/18,2015/06/18
SID3189,1,2015/06/17,2015/06/17
SID5162,1,2015/06/18,2015/06/18
SID5908,2,2015/07/02,2015/07/02
SID6697,1,2015/06/12,2015/06/12
SID9390,1,2015/06/23,2015/06/23
SID9784,1,2015/07/02,2015/07/02
SIN6633,2,2015/07/25,2015/07/25
SIN6984,8,2015/07/12,2015/07/12
SIN8073,1,2015/08/03,2015/08/03
SIN9553,4,2015/09/11,2015/09/11
SIR1176,2,2015/09/12,2015/09/12
SIR1667,1,2015/06/22,2015/06/22
SIR5541,3,2015/09/12,2015/09/12
SIR5768,4,2015/09/12,2015/09/12
SIR7308,1,2015/09/12,2015/09/12
SIR7463,5,2015/09/12,2015/09/12
SIS9840,4,2015/07/31,2015/07/31
SJH1518,4,2015/04/25,2015/04/25
SNE9668,1,2015/09/09,2015/09/09
SON2310,2,2015/03/25,2015/03/25
SON6018,1,2015/07/22,2015/07/22
SON8153,5,2015/06/25,2015/06/25
SRE1201,4,2015/09/09,2015/09/09
SRI2405,426,2015/08/28,2015/08/28
SRI3545,6,2015/08/11,2015/08/11
SRI4962,3,2015/08/17,2015/08/17
SRI5391,352,2015/08/28,2015/08/28
SRI9145,29,2015/07/28,2015/07/28
STA3878,1,2015/08/26,2015/08/26
SUB7870,1,2015/08/10,2015/08/10
SUD1011,4,2015/08/06,2015/08/06
SUD3602,6,2015/08/06,2015/08/06
SUH2242,1,2015/08/24,2015/08/24
SUH2249,2,2015/08/24,2015/08/24
SUJ7144,3,2015/08/06,2015/08/06
SUJ8674,1,2015/04/27,2015/04/27
SUM3206,2,2015/09/12,2015/09/12
SUN1270,1,2015/07/19,2015/07/19
SUN6270,5,2015/06/10,2015/06/10
SUN6700,1,2015/03/26,2015/03/26
SUR4098,1,2015/07/17,2015/07/17
SUR6913,4,2015/07/16,2015/07/16
SWA2777,1,2015/08/28,2015/08/28
SWA5202,2,2015/08/29,2015/08/29
SWA7452,1,2015/08/25,2015/08/25
SWA7550,1,2015/08/26,2015/08/26
SWA8446,4,2015/09/10,2015/09/10
SYE0346,1,2015/08/26,2015/08/26
TAM1118,1,2015/04/24,2015/04/24
